Name,Type,Source,Notes
accent,q,colorbrewer,
acton,s,crameri,
bam,d,crameri,
bamako,s,crameri,
bamo,c,crameri,
batlow,s,crameri,
batlowk,s,crameri,
batloww,s,crameri,
berlin,d,crameri,
bilbao,s,crameri,
blues,s,colorbrewer,
brbg,d,colorbrewer,
broc,d,crameri,
broco,c,crameri,
buda,s,crameri,
bugn,s,colorbrewer,
bukavu,m,crameri,
bupu,s,colorbrewer,
cividis,s,matplotlib,
cork,d,crameri,
corko,c,crameri,
crest,s,seaborne,
dark2,q,colorbrewer,
davos,s,crameri,
devon,s,crameri,
fes,m,crameri,
flare,s,seaborne,
gnbu,s,colorbrewer,
grayc,s,crameri,
greens,s,colorbrewer,
greys,s,colorbrewer,
hawaii,s,crameri,
icefire,d,seaborne,
imola,s,crameri,
inferno,s,matplotlib,
lajolla,s,crameri,
lapaz,s,crameri,
lisbon,d,crameri,
magma,s,matplotlib,
mako,s,seaborne,
nuuk,s,crameri,
oleron,m,crameri,
oranges,s,colorbrewer,
orrd,s,colorbrewer,
oslo,s,crameri,
paired,q,colorbrewer,
pastel1,q,colorbrewer,
pastel2,q,colorbrewer,
piyg,d,colorbrewer,
plasma,s,matplotlib,
prgn,d,colorbrewer,
pubu,s,colorbrewer,
pubugn,s,colorbrewer,
puor,d,colorbrewer,
purd,s,colorbrewer,
purples,s,colorbrewer,
rdbu,d,colorbrewer,
rdgy,d,colorbrewer,
rdpu,s,colorbrewer,
rdylbu,d,colorbrewer,
rdylgn,d,colorbrewer,
reds,s,colorbrewer,
rocket,s,seaborne,
roma,d,crameri,
romao,c,crameri,
set1,q,colorbrewer,
set2,q,colorbrewer,
set3,q,colorbrewer,
spectral,d,colorbrewer,
tab10,q,matplotlib,
tab20,q,matplotlib,
tab20b,q,matplotlib,
tab20c,q,matplotlib,
tofino,d,crameri,
tokyo,s,crameri,
turku,s,crameri,
twilight,c,matplotlib,
twilight_shifted,c,matplotlib,
vanimo,d,crameri,
vik,d,crameri,
viko,c,crameri,
viridis,s,matplotlib,
vlag,d,seaborne,
ylgn,s,colorbrewer,
ylgnbu,s,colorbrewer,
ylorbr,s,colorbrewer,
ylorrd,s,colorbrewer,